date,code,name,open,close,high,low,volume,amount,pct_chg,index_return
2024-03-12,000300,沪深300,3592.583,3597.494,3605.698,3574.212,18068556000,,0.2292949195155325,0.0022903243987336982
2024-03-13,000300,沪深300,3594.421,3572.361,3594.421,3563.369,14459059000,,-0.6986252096598422,-0.007010770215681628
2024-03-14,000300,沪深300,3571.789,3562.223,3597.46,3545.612,14096272200,,-0.28378990813078264,-0.002841933551660006
2024-03-15,000300,沪深300,3554.907,3569.993,3572.809,3533.68,13831604400,,0.2181222231174118,0.0021788468195365466
2024-03-18,000300,沪深300,3577.056,3603.528,3604.052,3573.404,16037943800,,0.9393575841745383,0.009349730570252965
2024-03-19,000300,沪深300,3593.34,3577.63,3610.739,3577.188,14557178600,,-0.7186845780024376,-0.007212795562295396
2024-03-20,000300,沪深300,3568.716,3585.384,3589.546,3568.434,12952896600,,0.21673566019961843,0.002165011272841144
2024-03-21,000300,沪深300,3593.07,3581.09,3601.115,3575.033,13074337700,,-0.11976401969774342,-0.0011983579411215316
2024-03-22,000300,沪深300,3571.274,3545.002,3575.717,3522.84,13922735800,,-1.007737867520786,-0.010128499186162876
2024-03-25,000300,沪深300,3536.714,3525.763,3564.96,3525.763,13701572400,,-0.542707733310166,-0.005441857416650373
2024-03-26,000300,沪深300,3526.682,3543.747,3547.646,3518.602,12620953500,,0.5100739896584106,0.00508777519054474
2024-03-27,000300,沪深300,3538.724,3502.787,3542.962,3502.787,12862676300,,-1.1558387209922194,-0.011625704590335878
2024-03-28,000300,沪深300,3498.482,3520.965,3551.214,3489.386,14333471700,,0.5189581895787665,0.005176162423272584
2024-03-29,000300,沪深300,3516.883,3537.484,3538.238,3516.883,12864329000,,0.4691611532633644,0.004680640225272424
2024-04-01,000300,沪深300,3551.582,3595.647,3600.919,3551.582,16277656100,,1.6441911822074662,0.01630820717261824
2024-04-02,000300,沪深300,3593.221,3580.676,3596.19,3568.754,14127297200,,-0.4163645652646153,-0.004172337760835616
2024-04-03,000300,沪深300,3578.684,3567.803,3582.432,3558.874,13559233100,,-0.3595131198689816,-0.0036016092137275274
2024-04-08,000300,沪深300,3553.555,3536.408,3567.82,3535.769,15530428300,,-0.879953293385316,-0.008838477454495728
2024-04-09,000300,沪深300,3533.385,3533.487,3543.714,3518.86,12967094200,,-0.08259793553232475,-0.0008263206642266384
2024-04-10,000300,沪深300,3528.968,3504.709,3531.23,3490.053,12879027400,,-0.8144362778184866,-0.008177709281482681
2024-04-11,000300,沪深300,3485.029,3504.245,3520.589,3484.925,12653439500,,-0.013239330283909556,-0.00013240206760602004
2024-04-12,000300,沪深300,3505.75,3475.839,3516.699,3470.061,12892111600,,-0.8106168375784262,-0.008139201997165633
2024-04-15,000300,沪深300,3473.505,3549.076,3552.413,3473.505,18394125000,,2.1070308492424417,0.02085139919401763
2024-04-16,000300,沪深300,3533.364,3511.115,3545.503,3503.616,17615306500,,-1.0696023415672218,-0.010753637067055306
2024-04-17,000300,沪深300,3509.132,3565.403,3565.939,3498.032,16846639800,,1.5461755026537238,0.01534344010461733
2024-04-18,000300,沪深300,3550.556,3569.802,3602.79,3547.6,17857410500,,0.12338016207424918,0.0012330411130023326
2024-04-19,000300,沪深300,3550.609,3541.662,3560.949,3529.324,14728150500,,-0.7882790137940465,-0.00791402357414604
2024-04-22,000300,沪深300,3536.184,3530.905,3558.164,3528.019,15057904200,,-0.3037274590291128,-0.003041896469743456
2024-04-23,000300,沪深300,3525.668,3506.225,3533.758,3499.984,14311350400,,-0.698970943709909,-0.007014251886027714
2024-04-24,000300,沪深300,3514.011,3521.622,3524.537,3495.649,12173985100,,0.4391332558520977,0.004381718792255699
2024-04-25,000300,沪深300,3510.64,3530.281,3543.97,3505.2,11518772200,,0.24588101732667678,0.0024557922455279864
2024-04-26,000300,沪深300,3531.965,3584.269,3588.4,3531.965,19721613300,,1.529283362995737,0.015177076923253085
2024-04-29,000300,沪深300,3584.543,3623.912,3645.823,3578.76,22272138100,,1.106027477290339,0.010999557225490677
2024-04-30,000300,沪深300,3619.259,3604.394,3630.709,3604.394,19129689900,,-0.5385892372662515,-0.005400448579956985
2024-05-06,000300,沪深300,3654.049,3657.877,3668.257,3645.738,20801800700,,1.4838277946306766,0.014729267726443337
2024-05-07,000300,沪深300,3657.001,3659.008,3665.684,3648.376,16483428600,,0.030919574386989446,0.00030914795271684114
2024-05-08,000300,沪深300,3650.748,3630.223,3650.936,3628.698,13003533600,,-0.7866886325473943,-0.007897993527656223
2024-05-09,000300,沪深300,3630.414,3664.561,3669.759,3630.414,14655901700,,0.9458923046876233,0.009414467548501396
2024-05-10,000300,沪深300,3669.087,3666.277,3674.609,3641.764,15072053600,,0.0468268914066261,0.0004681593103929812
2024-05-13,000300,沪深300,3646.349,3664.691,3673.621,3634.605,15726745500,,-0.043259142721630006,-0.0004326850218808902
2024-05-14,000300,沪深300,3668.225,3657.045,3675.776,3646.709,13340649000,,-0.20863969158654294,-0.0020885764740540343
2024-05-15,000300,沪深300,3651.054,3626.056,3656.528,3624.002,12352276400,,-0.8473781427354554,-0.008509888030861041
2024-05-16,000300,沪深300,3636.601,3640.359,3657.483,3626.334,15463050300,,0.3944506096982492,0.0039367469301688765
2024-05-17,000300,沪深300,3638.561,3677.97,3677.97,3627.447,16457041700,,1.0331673332218072,0.010278666382997874
2024-05-20,000300,沪深300,3682.062,3690.962,3703.029,3677.443,18460942300,,0.3532383352773394,0.0035261591399285835
2024-05-21,000300,沪深300,3682.287,3676.161,3684.611,3665.152,13067828300,,-0.40100656685168046,-0.004018127541494077
2024-05-22,000300,沪深300,3675.647,3684.451,3691.88,3667.089,15191460500,,0.2255069894925743,0.0022525310409559334
2024-05-23,000300,沪深300,3672.84,3641.792,3674.365,3633.505,14257299000,,-1.1578115708419046,-0.01164566398411965
2024-05-24,000300,沪深300,3630.827,3601.475,3650.873,3599.668,12479117700,,-1.1070648735567512,-0.011132384426226534
2024-05-27,000300,沪深300,3606.645,3635.708,3638.151,3603.713,13127264400,,0.9505272145440502,0.00946038128851004
2024-05-28,000300,沪深300,3633.254,3609.172,3638.97,3605.921,12353223800,,-0.7298715958487301,-0.007325481903351931
2024-05-29,000300,沪深300,3609.071,3613.522,3633.197,3602.82,11590632100,,0.12052625920848659,0.0012045368462112957
2024-05-30,000300,沪深300,3607.052,3594.312,3624.035,3586.754,12260299500,,-0.5316143086993796,-0.005330324056692399
2024-05-31,000300,沪深300,3599.82,3579.925,3614.644,3579.925,11246201900,,-0.40027131757064405,-0.004010745473243527
2024-06-03,000300,沪深300,3577.38,3588.748,3600.604,3567.871,14105459100,,0.2464576771859628,0.0024615446833821455
2024-06-04,000300,沪深300,3583.81,3615.671,3622.501,3580.277,12454509600,,0.7502059213965406,0.007474058721441453
2024-06-05,000300,沪深300,3610.36,3594.794,3623.323,3594.106,11090676600,,-0.5774031984657868,-0.005790766154181864
2024-06-06,000300,沪深300,3602.155,3592.245,3625.011,3584.171,13789351700,,-0.07090809654183294,-0.0007093324822303063
2024-06-07,000300,沪深300,3594.634,3574.114,3603.07,3552.085,13110302600,,-0.5047261531437863,-0.005060041978229485
